Sequence	Sample Size	# Interquartile Range	Interquartile Range	# Standard Deviation	Standard Deviation	# Maximum	Maximum	# Minimum	Minimum	# Total
crrr	100000000	2	0,09907403999999999	1	0,07348496058390083	1	1,2700199199999993	2	0,75140104	6
bcrr	100000000	3	0,10016032	2	0,07410459919559416	2	1,27115872	1	0,75142392	8
ocrr	100000000	4	0,10186436	3	0,07541136782207494	4	1,2777148800000004	3	0,7459888800000002	14
rcrr	100000000	5	0,10316227999999997	4	0,07637481843852574	5	1,2796612399999998	4	0,7434023999999998	18
ccrr	100000000	6	0,10748712	5	0,08028555235856644	6	1,2988383200000002	5	0,72956	22
crcr	100000000	16	0,14504411999999997	6	0,10255093574720864	7	1,34413604	7	0,6922344000000005	36
pc	100000000	23	0,15668380000000007	7	0,10937214718862795	3	1,2740098799999993	6	0,7172827999999997	39
crrb	100000000	17	0,14632228000000003	8	0,11691485432755253	8	1,4591070000000004	9	0,61122516	42
orcr	100000000	10	0,13782599999999998	9	0,11893916669225923	11	1,4823582799999997	12	0,5749333199999999	42
crro	100000000	22	0,15665312000000003	10	0,12295798828746099	9	1,4593956	8	0,6141002400000002	49
cror	100000000	21	0,15445975999999992	11	0,1291895211970394	12	1,4865619599999997	14	0,52492024	58
crrc	100000000	27	0,16654768	12	0,12927645478865324	10	1,4601261999999997	10	0,6082803999999997	59
orrr	100000000	8	0,13549275999999996	13	0,1353781483304341	24	1,6673971599999997	18	0,47548228	63
corr	100000000	20	0,15055768	14	0,13711932089726955	14	1,5211154400000002	16	0,5139575999999999	64
brrr	100000000	12	0,13925704	16	0,1417445632837243	19	1,6229111600000004	17	0,4951232	64
crr	100000000	30	0,17916079999999993	15	0,1414577802614601	13	1,5093530400000004	11	0,57992636	69
brcr	100000000	37	0,21921327999999993	17	0,17214599145640916	15	1,54693968	13	0,5272175999999998	82
obrr	100000000	35	0,21448959999999997	19	0,17903270152987003	20	1,6392953199999998	19	0,47365084	93
borr	100000000	32	0,1938482	23	0,20216097205182268	30	1,7322182800000003	32	0,36512632000000017	117
ocor	100000000	52	0,2980057599999999	22	0,20121990631456532	18	1,59348436	26	0,42555188	118
bocr	100000000	48	0,28470416000000004	31	0,2137640991681492	21	1,6398558800000003	20	0,44854628	120
bcor	100000000	54	0,3012479600000001	21	0,19486374129563344	17	1,5841779200000004	30	0,3730818	122
oocr	100000000	53	0,3003494000000001	27	0,20824348157820083	22	1,6416498800000003	21	0,44734664	123
oorr	100000000	31	0,19078696000000003	26	0,20569388543510175	33	1,75956508	37	0,3543462	127
cbrr	100000000	39	0,22940528	28	0,21252388770685296	39	1,7665128	29	0,3891622800000001	135
obcr	100000000	49	0,2873374399999999	36	0,22689150547627907	28	1,71208596	28	0,4004572	141
orrc	100000000	24	0,1591694	25	0,20353319787214116	55	1,92881416	39	0,3260561200000001	143
cocr	100000000	79	0,3848748799999999	35	0,22038859055298418	16	1,5589184	15	0,52396084	145
rrcr	100000000	18	0,14759576000000005	18	0,1783175871357219	46	1,86994184	64	0,24496316	146
crbr	100000000	41	0,24336936	33	0,21490090538559967	41	1,80824488	36	0,35481212000000006	151
rbrr	100000000	44	0,25881335999999994	29	0,21320486294592775	40	1,8057993200000002	40	0,32350447999999987	153
rocr	100000000	50	0,2875428399999999	32	0,21403476214701925	34	1,7604106	38	0,3402365200000001	154
bbrr	100000000	36	0,2189382	30	0,21343016252470798	45	1,84702128	44	0,3144081199999999	155
orbr	100000000	40	0,23445396	41	0,2363309363999373	32	1,7466061600000002	47	0,29866355999999994	160
rcor	100000000	60	0,33458983999999986	40	0,2341047457202407	23	1,6611659999999997	42	0,316784	165
occr	100000000	76	0,38208248000000006	43	0,24189437617906928	26	1,69388908	22	0,43734132	167
bror	100000000	34	0,19564531999999996	39	0,23260240212226735	47	1,87079464	56	0,2651714	176
bbcr	100000000	61	0,33640776000000006	52	0,2672736010750538	35	1,76044024	35	0,3598301200000001	183
oror	100000000	28	0,17159428	38	0,23018791590950113	59	1,95847288	62	0,24670568	187
cbcr	100000000	86	0,39964808	47	0,2627617315695523	29	1,72276676	27	0,41554500000000005	189
rorr	100000000	14	0,14311700000000005	20	0,18434281521393148	91	2,1974134	72	0,22039524	197
brbr	100000000	43	0,25281255999999996	48	0,2628217933085275	74	2,0725031599999992	33	0,3641398800000001	198
orrb	100000000	25	0,16140696000000004	37	0,2294479096604397	78	2,0881275999999995	58	0,2555025199999999	198
ocrb	100000000	93	0,42133676	50	0,2661273924711757	37	1,76179796	25	0,42883724000000006	205
brrc	100000000	47	0,27814644000000005	51	0,26726491623400817	57	1,93626836	50	0,2889203199999999	205
bccr	100000000	81	0,38599288	57	0,2841378017091348	38	1,76396584	34	0,36321012	210
po	100000000	38	0,21971923999999995	34	0,21943488287187193	75	2,0777640000000006	66	0,24190088	213
ccor	100000000	80	0,38503452	49	0,26543161790020736	36	1,76071896	49	0,29157907999999993	214
rbcr	100000000	51	0,29088592	45	0,25198513511712683	58	1,9362902	61	0,24745344	215
orro	100000000	26	0,16544891999999992	42	0,23898891371494468	83	2,1283823600000003	67	0,24060712	218
rccr	100000000	74	0,38110644	54	0,2745034398471585	51	1,9173206	46	0,3036623199999999	225
ocro	100000000	121	0,51916332	58	0,28695124605039085	27	1,6971650800000002	23	0,43374916	229
